# frequency/Hz 	 PSD/[1/Hz]
0.000000000000000000e+00 1.580729347444834371e-39
1.754385964912280604e-02 1.386525933328080121e-39
3.508771929824561209e-02 1.084017699938797147e-39
5.263157894736841813e-02 9.176115567803062753e-40
7.017543859649122417e-02 9.080838017510412158e-40
8.771929824561403022e-02 1.054333907771453786e-39
1.052631578947368363e-01 1.346231483519967313e-39
1.228070175438596423e-01 1.577053512072856626e-39
1.403508771929824483e-01 1.425487930972970651e-39
1.578947368421052544e-01 1.116126743680513934e-39
1.754385964912280604e-01 9.295787856424044383e-40
1.929824561403508665e-01 9.009658043724022833e-40
2.105263157894736725e-01 1.027161589350923804e-39
2.280701754385964786e-01 1.305458712806662129e-39
2.456140350877192846e-01 1.566171728620548449e-39
2.631578947368420907e-01 1.462170710594509902e-39
2.807017543859648967e-01 1.150520109305713677e-39
2.982456140350877027e-01 9.440188391100789795e-40
3.157894736842105088e-01 8.962335978564091372e-40
3.333333333333333148e-01 1.002544891118887073e-39
3.508771929824561209e-01 1.264949026922113412e-39
3.684210526315789269e-01 1.548507730075964142e-39
3.859649122807017330e-01 1.495569012899091344e-39
4.035087719298245390e-01 1.186988174266428478e-39
4.210526315789473450e-01 9.609658272704500966e-40
4.385964912280701511e-01 8.938704434609635420e-40
4.561403508771929571e-01 9.804968728665904843e-40
4.736842105263157632e-01 1.225323270285753153e-39
4.912280701754385692e-01 1.524725230631604912e-39
5.087719298245614308e-01 1.524667390576145164e-39
5.263157894736841813e-01 1.225237900298813694e-39
5.438596491228069318e-01 9.804508303216750633e-40
5.614035087719297934e-01 8.938677661541309350e-40
5.789473684210526550e-01 9.610087901114715126e-40
5.964912280701754055e-01 1.187083468079943091e-39
6.140350877192981560e-01 1.495671527011740725e-39
6.315789473684210176e-01 1.548500383522627590e-39
6.491228070175438791e-01 1.264878424250347812e-39
6.666666666666666297e-01 1.002497017620712783e-39
6.842105263157893802e-01 8.962256093652634580e-40
7.017543859649122417e-01 9.440577474042622107e-40
7.192982456140351033e-01 1.150621259582384736e-39
7.368421052631578538e-01 1.462311321826525295e-39
7.543859649122806044e-01 1.566219494799820748e-39
7.719298245614034659e-01 1.305408540734938478e-39
7.894736842105263275e-01 1.027113482706864601e-39
8.070175438596490780e-01 9.009526396544907057e-40
8.245614035087718285e-01 9.296128777937254659e-40
8.421052631578946901e-01 1.116230385087724821e-39
8.596491228070175517e-01 1.425659733600281062e-39
8.771929824561403022e-01 1.577159407964060855e-39
8.947368421052630527e-01 1.346208219088283482e-39
9.122807017543859143e-01 1.054287605429095317e-39
9.298245614035087758e-01 9.080657016311740955e-40
9.473684210526315264e-01 9.176402370461380219e-40
9.649122807017542769e-01 1.084121080170820847e-39
9.824561403508771384e-01 1.386722065536124212e-39
1.000000000000000000e+00 1.580894484341736538e-39
1.017543859649122862e+00 1.386536789569899167e-39
1.035087719298245501e+00 1.083975785006604943e-39
1.052631578947368363e+00 9.175888925613785156e-40
1.070175438596491224e+00 9.081066047651340041e-40
1.087719298245613864e+00 1.054434794700876689e-39
1.105263157894736725e+00 1.346445418939243153e-39
1.122807017543859587e+00 1.577276939592056151e-39
1.140350877192982448e+00 1.425540685819867347e-39
1.157894736842105310e+00 1.116092465054932375e-39
1.175438596491227949e+00 9.295520951767962062e-40
1.192982456140350811e+00 9.009823704785642664e-40
1.210526315789473673e+00 1.027258181916643513e-39
1.228070175438596312e+00 1.305684462602721912e-39
1.245614035087719174e+00 1.566450453911598010e-39
1.263157894736842035e+00 1.462273425869083432e-39
1.280701754385964897e+00 1.150497512035413671e-39
1.298245614035087758e+00 9.439888758614984615e-40
1.315789473684210398e+00 8.962436583713355223e-40
1.333333333333333259e+00 1.002635738391902031e-39
1.350877192982456121e+00 1.265181257314485982e-39
1.368421052631578760e+00 1.548836911619726720e-39
1.385964912280701622e+00 1.495729638269595467e-39
1.403508771929824483e+00 1.186982232929281190e-39
1.421052631578947345e+00 9.609336243168076568e-40
1.438596491228070207e+00 8.938738153635270107e-40
1.456140350877192846e+00 9.805808036078897870e-40
1.473684210526315708e+00 1.225557348746982028e-39
1.491228070175438569e+00 1.525098517580972331e-39
1.508771929824561209e+00 1.524893264973486913e-39
1.526315789473684070e+00 1.225254643489303829e-39
1.543859649122806932e+00 9.804177814664285525e-40
1.561403508771929793e+00 8.938643561246190075e-40
1.578947368421052655e+00 9.610848536971263115e-40
1.596491228070175294e+00 1.187315455113382435e-39
1.614035087719298156e+00 1.496081493665049886e-39
1.631578947368421018e+00 1.548797669134205020e-39
1.649122807017543657e+00 1.264925032460653202e-39
1.666666666666666519e+00 1.002464977893572039e-39
1.684210526315789380e+00 8.962154274977516715e-40
1.701754385964912242e+00 9.441251660659980047e-40
1.719298245614035103e+00 1.150847863237262770e-39
1.736842105263157743e+00 1.462749937652782256e-39
1.754385964912280604e+00 1.566592601326332030e-39
1.771929824561403466e+00 1.305493393738016077e-39
1.789473684210526105e+00 1.027084890220310453e-39
1.807017543859648967e+00 9.009358236837062561e-40
1.824561403508771829e+00 9.296710097123045988e-40
1.842105263157894690e+00 1.116448893202344714e-39
1.859649122807017552e+00 1.426118812612046727e-39
1.877192982456140191e+00 1.577610481483382432e-39
1.894736842105263053e+00 1.346340862995186725e-39
1.912280701754385914e+00 1.054265625860545663e-39
1.929824561403508554e+00 9.080425529786537392e-40
1.947368421052631415e+00 9.176885496864811165e-40
1.964912280701754277e+00 1.084329282290697470e-39
1.982456140350877138e+00 1.387193651771491108e-39
2.000000000000000000e+00 1.581423038686567669e-39
2.017543859649122862e+00 1.386727790353238553e-39
2.035087719298245723e+00 1.083964478392359129e-39
2.052631578947368141e+00 9.175599260092556832e-40
2.070175438596491002e+00 9.081446579191311440e-40
2.087719298245613864e+00 1.054630902452083385e-39
2.105263157894736725e+00 1.346922082579376333e-39
2.122807017543859587e+00 1.577879694779061186e-39
2.140350877192982448e+00 1.425801337429282018e-39
2.157894736842105310e+00 1.116096972031213100e-39
2.175438596491227727e+00 9.295181045254871539e-40
2.192982456140350589e+00 9.010098087066877502e-40
2.210526315789473450e+00 1.027440753616078875e-39
2.228070175438596312e+00 1.306159498729061093e-39
2.245614035087719174e+00 1.567121416638416465e-39
2.263157894736842035e+00 1.462615290006503847e-39
2.280701754385964897e+00 1.150524252659497214e-39
2.298245614035087758e+00 9.439510183778031291e-40
2.315789473684210620e+00 8.962602128601728378e-40
2.333333333333333037e+00 1.002803611507395660e-39
2.350877192982455899e+00 1.265648793214639183e-39
2.368421052631578760e+00 1.549567693237588867e-39
2.385964912280701622e+00 1.496163911426466754e-39
2.403508771929824483e+00 1.187039105609527949e-39
2.421052631578947345e+00 9.608935271787580542e-40
2.438596491228070207e+00 8.938793155841527669e-40
2.456140350877192624e+00 9.807330369336929296e-40
2.473684210526315486e+00 1.226012374580961126e-39
2.491228070175438347e+00 1.525878845768337119e-39
2.508771929824561209e+00 1.525429996843179825e-39
2.526315789473684070e+00 1.225351204062171231e-39
2.543859649122806932e+00 9.803776736765546446e-40
