# frequency/Hz 	 PSD/[1/Hz]
0.000000000000000000e+00 1.810168993494942499e-35
3.703703703703703498e-02 1.191477629523103940e-37
7.407407407407406996e-02 8.356576647859071868e-38
1.111111111111111049e-01 6.305955420478185705e-37
1.481481481481481399e-01 2.531331865269809804e-37
1.851851851851851749e-01 7.695121730530596278e-38
2.222222222222222099e-01 1.830090775554047529e-37
2.592592592592592449e-01 1.377256514663188092e-36
2.962962962962962798e-01 9.096605621446897877e-38
3.333333333333333148e-01 1.012034499517153546e-37
3.703703703703703498e-01 4.062577683249565701e-36
4.074074074074073848e-01 1.450458547083281811e-37
4.444444444444444198e-01 7.830581318962314032e-38
4.814814814814814548e-01 3.619239947665214121e-37
5.185185185185184897e-01 3.810772872095065848e-37
5.555555555555555802e-01 7.829621853593639608e-38
5.925925925925925597e-01 1.402667222923094549e-37
6.296296296296295392e-01 4.839086557998172879e-36
6.666666666666666297e-01 1.012984787516945908e-37
7.037037037037037202e-01 8.832199793032928112e-38
7.407407407407406996e-01 1.219256622783410966e-36
7.777777777777776791e-01 1.844382005718342887e-37
8.148148148148147696e-01 7.473522429193824992e-38
8.518518518518518601e-01 2.360543943839085639e-37
8.888888888888888395e-01 6.563436622129934653e-37
9.259259259259258190e-01 8.114486135362051927e-38
9.629629629629629095e-01 1.122544281593862292e-37
1.000000000000000000e+00 1.862318330567952046e-35
1.037037037037036979e+00 1.159388045914461277e-37
1.074074074074073959e+00 7.888809882140859619e-38
1.111111111111111160e+00 5.616932933548756034e-37
1.148148148148148140e+00 2.490218611798527733e-37
1.185185185185185119e+00 7.262302519452436881e-38
1.222222222222222099e+00 1.671566056591816806e-37
1.259259259259259078e+00 1.443792600731945184e-36
1.296296296296296280e+00 8.585077344483345106e-38
1.333333333333333259e+00 9.294707258048389585e-38
1.370370370370370239e+00 3.366050736782620104e-36
1.407407407407407440e+00 1.373574971814951981e-37
1.444444444444444420e+00 7.195773154460435296e-38
1.481481481481481399e+00 3.196145137980857612e-37
1.518518518518518379e+00 3.671463841113690971e-37
1.555555555555555358e+00 7.190091161157429387e-38
1.592592592592592560e+00 1.254390788070702635e-37
1.629629629629629539e+00 5.496181542930877143e-36
1.666666666666666519e+00 9.305227976507746816e-38
1.703703703703703720e+00 7.917989929243801610e-38
1.740740740740740700e+00 1.032182768035788921e-36
1.777777777777777679e+00 1.702844969790484397e-37
1.814814814814814659e+00 6.696930510643699025e-38
1.851851851851851638e+00 2.056441762110164595e-37
1.888888888888888840e+00 6.233717321605610588e-37
1.925925925925925819e+00 7.264620346419324771e-38
1.962962962962962798e+00 9.837331409513987060e-38
2.000000000000000000e+00 2.036174970085072644e-35
2.037037037037036757e+00 1.038619851534178457e-37
2.074074074074073959e+00 6.916552525983304219e-38
2.111111111111111160e+00 4.762510686204865888e-37
2.148148148148147918e+00 2.246911435191487332e-37
2.185185185185185119e+00 6.359880833360558848e-38
2.222222222222222321e+00 1.434751541267393435e-37
2.259259259259259078e+00 1.374493007508840788e-36
2.296296296296296280e+00 7.510025839436308898e-38
2.333333333333333037e+00 7.994563188867121667e-38
2.370370370370370239e+00 2.805601198316550041e-36
2.407407407407407440e+00 1.202719124051564490e-37
2.444444444444444198e+00 6.184040340923792554e-38
2.481481481481481399e+00 2.692072825567042665e-37
2.518518518518518157e+00 3.247482888832192196e-37
2.555555555555555358e+00 6.168834509179547322e-38
2.592592592592592560e+00 1.061284550530279006e-37
2.629629629629629317e+00 5.678764337733853987e-36
2.666666666666666519e+00 7.973284495142548076e-38
2.703703703703703720e+00 6.697777202874039910e-38
2.740740740740740478e+00 8.569396666653438759e-37
2.777777777777777679e+00 1.460813772114418833e-37
2.814814814814814881e+00 5.655207768310425883e-38
2.851851851851851638e+00 1.716367600843171301e-37
2.888888888888888840e+00 5.428357513786359907e-37
2.925925925925925597e+00 6.121830942527599652e-38
2.962962962962962798e+00 8.214523830067157089e-38
3.000000000000000000e+00 2.398895905786885387e-35
3.037037037037036757e+00 8.738659876247693991e-38
3.074074074074073959e+00 5.766508135758602504e-38
3.111111111111110716e+00 3.939103849294733546e-37
3.148148148148147918e+00 1.892691344597590184e-37
3.185185185185185119e+00 5.290129002481744148e-38
3.222222222222221877e+00 1.186371261176723518e-37
3.259259259259259078e+00 1.188917631202463672e-36
3.296296296296296280e+00 6.231342979333433585e-38
3.333333333333333037e+00 6.599789297423529193e-38
3.370370370370370239e+00 2.374355429877426655e-36
3.407407407407407440e+00 9.958907138229819623e-38
3.444444444444444198e+00 5.092799052006041625e-38
3.481481481481481399e+00 2.213683757292022904e-37
3.518518518518518157e+00 2.690934672748482627e-37
3.555555555555555358e+00 5.066161068718611720e-38
3.592592592592592560e+00 8.701110931721408200e-38
3.629629629629629317e+00 5.145202059894695993e-36
3.666666666666666519e+00 6.528740744622653408e-38
3.703703703703703276e+00 5.476052607244441481e-38
3.740740740740740478e+00 7.093269590332905042e-37
3.777777777777777679e+00 1.192657585445187609e-37
3.814814814814814437e+00 4.609940146507060105e-38
3.851851851851851638e+00 1.402761451041262442e-37
3.888888888888888840e+00 4.429206583475711001e-37
3.925925925925925597e+00 4.974321331223754022e-38
3.962962962962962798e+00 6.685693654301290792e-38
4.000000000000000000e+00 3.139487721616826998e-35
4.037037037037037202e+00 7.075019559729760121e-38
4.074074074074073515e+00 4.677342249183669572e-38
4.111111111111110716e+00 3.233245909648881164e-37
4.148148148148147918e+00 1.525511657620926017e-37
4.185185185185185119e+00 4.276497021571923189e-38
4.222222222222222321e+00 9.642574851440974680e-38
4.259259259259258634e+00 9.549760510389683779e-37
4.296296296296295836e+00 5.018820655176872562e-38
4.333333333333333037e+00 5.339263797964884756e-38
4.370370370370370239e+00 2.049306240536099627e-36
4.407407407407407440e+00 7.984276066163202741e-38
4.444444444444444642e+00 4.104630823292486908e-38
4.481481481481480955e+00 1.806252868928047651e-37
4.518518518518518157e+00 2.141594014418172025e-37
4.555555555555555358e+00 4.067965606599305800e-38
4.592592592592592560e+00 7.039508566589861112e-38
4.629629629629629761e+00 4.100949087212735664e-36
4.666666666666666075e+00 5.219848609919989226e-38
4.703703703703703276e+00 4.409081869821326549e-38
4.740740740740740478e+00 5.909396183133793607e-37
4.777777777777777679e+00 9.477291062489956259e-38
4.814814814814814881e+00 3.696894506623711698e-38
4.851851851851851194e+00 1.139369855900124014e-37
4.888888888888888395e+00 3.474060028508544415e-37
4.925925925925925597e+00 3.972695171222360826e-38
4.962962962962962798e+00 5.389310132565587500e-38
5.000000000000000000e+00 4.883857477316741407e-35
5.037037037037036313e+00 5.621277953873175807e-38
5.074074074074073515e+00 3.752252768597600052e-38
5.111111111111110716e+00 2.660809766642700591e-37
5.148148148148147918e+00 1.201666363672395891e-37
5.185185185185185119e+00 3.416226418229873874e-38
5.222222222222222321e+00 7.805094244543628920e-38
5.259259259259258634e+00 7.328014645328966324e-37
5.296296296296295836e+00 3.990717830408240075e-38
5.333333333333333037e+00 4.292230522159756637e-38
5.370370370370370239e+00 1.808708502862219537e-36
5.407407407407407440e+00 6.308040257713462463e-38
5.444444444444443754e+00 3.283879711973718596e-38
5.481481481481480955e+00 1.476680599266770122e-37
5.518518518518518157e+00 1.670276983501833728e-37
5.555555555555555358e+00 3.239965130817702407e-38
5.592592592592592560e+00 5.683898920741395732e-38
5.629629629629629761e+00 2.989196995696760306e-36
5.666666666666666075e+00 4.135339695655871881e-38
5.703703703703703276e+00 3.537586562227604793e-38
5.740740740740740478e+00 4.980416680463261672e-37
5.777777777777777679e+00 7.445932215583529499e-38
5.814814814814814881e+00 2.951866365563667613e-38
5.851851851851851194e+00 9.276919595087000829e-38
5.888888888888888395e+00 2.672235817464545064e-37
5.925925925925925597e+00 3.156712925104808233e-38
5.962962962962962798e+00 4.344110586748926293e-38
6.000000000000000000e+00 1.085500604717647372e-34
6.037037037037036313e+00 4.438616360247949790e-38
6.074074074074073515e+00 3.006675925292016194e-38
6.111111111111110716e+00 2.207819680183196473e-37
6.148148148148147918e+00 9.381321203590227279e-38
6.185185185185185119e+00 2.723934019010583928e-38
6.222222222222221433e+00 6.338662706526059701e-38
6.259259259259258634e+00 5.495065931898955212e-37
6.296296296296295836e+00 3.164919850994473996e-38
6.333333333333333037e+00 3.456130375427086734e-38
6.370370370370370239e+00 1.636805835584753918e-36
6.407407407407407440e+00 4.964159072145589388e-38
6.444444444444443754e+00 2.629233897043393459e-38
6.481481481481480955e+00 1.215967983695879461e-37
6.518518518518518157e+00 1.292928520502977307e-37
6.555555555555555358e+00 2.580731105428033082e-38
6.592592592592592560e+00 4.608706811204348771e-38
6.629629629629628873e+00 2.079898954584714517e-36
6.666666666666666075e+00 3.273763991147364406e-38
6.703703703703703276e+00 2.846839896006805901e-38
6.740740740740740478e+00 4.259057379509789260e-37
6.777777777777777679e+00 5.836577636355909038e-38
6.814814814814814881e+00 2.362284656655361513e-38
6.851851851851851194e+00 7.606563481641641731e-38
6.888888888888888395e+00 2.040442546388895809e-37
6.925925925925925597e+00 2.512295381117227017e-38
6.962962962962962798e+00 3.519221622742295750e-38
7.000000000000000000e+00 8.533284391890723071e-34
7.037037037037036313e+00 3.507071305060831454e-38
7.074074074074073515e+00 2.419017578245012074e-38
7.111111111111110716e+00 1.852744832793331857e-37
7.148148148148147918e+00 7.314621465952840013e-38
7.185185185185185119e+00 2.179253173664500294e-38
7.222222222222221433e+00 5.184505633677019599e-38
7.259259259259258634e+00 4.082120888594001627e-37
7.296296296296295836e+00 2.516679173048814970e-38
7.333333333333333037e+00 2.798684844778747986e-38
7.370370370370370239e+00 1.524796278508110798e-36
7.407407407407406552e+00 3.912759971363567124e-38
7.444444444444443754e+00 2.115280177456881905e-38
7.481481481481480955e+00 1.011300815235776054e-37
7.518518518518518157e+00 9.999227849200871941e-38
7.555555555555555358e+00 2.064181930397427887e-38
7.592592592592592560e+00 3.764201824451640479e-38
7.629629629629628873e+00 1.420810646325049676e-36
7.666666666666666075e+00 2.600430426786444459e-38
7.703703703703703276e+00 2.305029867734532343e-38
7.740740740740740478e+00 3.704210344610841330e-37
7.777777777777777679e+00 4.584551940251765010e-38
7.814814814814813992e+00 1.900608196411694705e-38
7.851851851851851194e+00 6.295364956794198321e-38
7.888888888888888395e+00 1.555924432154657422e-37
7.925925925925925597e+00 2.008737443619630389e-38
7.962962962962962798e+00 2.872148670221894980e-38
8.000000000000000000e+00 4.675421825956071799e-34
8.037037037037036313e+00 2.781418243484525203e-38
8.074074074074074403e+00 1.958721625343098074e-38
8.111111111111110716e+00 1.575482662010087570e-37
8.148148148148147030e+00 5.715335206046517123e-38
8.185185185185185119e+00 1.753364780004286976e-38
8.222222222222221433e+00 4.278639356491675958e-38
8.259259259259259522e+00 3.023531688806392531e-37
8.296296296296295836e+00 2.010986128816943322e-38
8.333333333333332149e+00 2.283232056262261227e-38
8.370370370370370239e+00 1.471843433309508293e-36
8.407407407407406552e+00 3.095782969211862645e-38
8.444444444444444642e+00 1.712927706842426558e-38
8.481481481481480955e+00 8.508559539320100791e-38
8.518518518518517268e+00 7.746214980480505642e-38
8.555555555555555358e+00 1.660524866105983982e-38
